ascii                                     country  admin1  lat       long
Huntsville                                CA       08      45.33341  -79.21632
Huron East                                CA       08      43.61679  -81.29975
Ingersoll                                 CA       08      43.03339  -80.88302
Innisfil                                  CA       08      44.30011  -79.64964
Iqaluit                                   CA       14      63.75059  -68.51449
Joliette                                  CA       10      46.01677  -73.44915
Kamloops                                  CA       02      50.66648  -120.3192
Kapuskasing                               CA       08      49.41694  -82.43308
Kelowna                                   CA       02      49.88307  -119.48568
Kentville                                 CA       07      45.08345  -64.49876
Keswick                                   CA       08      44.25011  -79.46632
Kimberley                                 CA       02      49.67071  -115.9776
Kingston                                  CA       08      44.22976  -76.48098
Kirkland                                  CA       10      45.45008  -73.86586
Kirkland Lake                             CA       08      48.14461  -80.03767
Kitchener                                 CA       08      43.42537  -80.5112
Kitimat                                   CA       02      54.05244  -128.65342
Labrador City                             CA       05      52.94626  -66.91137
Lac-Brome                                 CA       10      45.21678  -72.51581
Lachute                                   CA       10      45.65008  -74.33253
Lacombe                                   CA       01      52.46681  -113.7353
Ladysmith                                 CA       02      48.98292  -123.81938
Lambton Shores                            CA       08      43.16678  -81.93309
Langford                                  CA       02      48.44963  -123.50261
Langley                                   CA       02      49.10107  -122.65883
Langley                                   CA       02      49.08297  -122.58589
La Prairie                                CA       10      45.41678  -73.49917
La Sarre                                  CA       10      48.80019  -79.19964
L'Assomption                              CA       10      45.82318  -73.4294
La Tuque                                  CA       10      47.43337  -72.7824
Laval                                     CA       10      45.56995  -73.692
Lavaltrie                                 CA       10      45.88338  -73.28245
Leduc                                     CA       01      53.26682  -113.55201
Les Coteaux                               CA       10      45.28338  -74.23254
Lethbridge                                CA       01      49.69999  -112.81856
L'Ile-Perrot                              CA       10      45.38338  -73.9492
Lloydminster                              CA       11      53.28346  -110.00157
London                                    CA       08      42.98339  -81.23304
Longueuil                                 CA       10      45.53121  -73.51806
Lorraine                                  CA       10      45.68338  -73.78249
Louiseville                               CA       10      46.25594  -72.94145
Magog                                     CA       10      45.26678  -72.14909
Maple Ridge                               CA       02      49.21939  -122.60193
Marieville                                CA       10      45.43338  -73.16585
Markham                                   CA       08      43.86682  -79.2663
Mascouche                                 CA       10      45.74965  -73.59956
Medicine Hat                              CA       01      50.05006  -110.66834
Melfort                                   CA       11      52.86673  -104.61768
Mercier                                   CA       10      45.31678  -73.74919
Merritt                                   CA       02      50.11225  -120.7942
Midland                                   CA       08      44.7501   -79.88296
Milton                                    CA       08      43.51681  -79.88294
Mirabel                                   CA       10      45.65008  -74.08251
Miramichi                                 CA       04      47.02895  -65.50186
Mississauga                               CA       08      43.5789   -79.6583
Moncton                                   CA       04      46.11594  -64.80186
Mont-Laurier                              CA       10      46.55011  -75.4993
Montreal                                  CA       10      45.50884  -73.58781
Montreal-Ouest                            CA       10      45.45286  -73.64918
Mont-Royal                                CA       10      45.51675  -73.64918
Mont-Saint-Hilaire                        CA       10      45.56678  -73.19915
Mont-Tremblant                            CA       10      46.21274  -74.58438
Moose Jaw                                 CA       11      50.40005  -105.53445
Morden                                    CA       03      49.1919   -98.10136
Morinville                                CA       01      53.80014  -113.65203
Mount Pearl                               CA       05      47.51659  -52.78135
Nanaimo                                   CA       02      49.16638  -123.94003
Nelson                                    CA       02      49.49985  -117.28553
New Glasgow                               CA       07      45.58344  -62.64863
Newmarket                                 CA       08      44.05011  -79.46631
New Westminster                           CA       02      49.20678  -122.91092
Niagara Falls                             CA       08      43.10012  -79.06627
Nicolet                                   CA       10      46.21676  -72.61582
Norfolk County                            CA       08      42.8334   -80.38297
North Battleford                          CA       11      52.77972  -108.2967
North Bay                                 CA       08      46.3168   -79.46633
North Cowichan                            CA       02      48.84133  -123.68596
North Perth                               CA       08      43.7251   -80.96723
North Saanich                             CA       02      48.66634  -123.41933
North Vancouver                           CA       02      49.31636  -123.06934
North York                                CA       08      43.76681  -79.4163
Notre-Dame-de-l'Ile-Perrot                CA       10      45.36678  -73.9325
Notre-Dame-des-Prairies                   CA       10      46.05007  -73.43245
Oak Bay                                   CA       02      48.44964  -123.3026
Oakville                                  CA       08      43.45011  -79.68292
Okotoks                                   CA       01      50.72885  -113.98281
Olds                                      CA       01      51.78341  -114.10199
Orangeville                               CA       08      43.9168   -80.09967
Orillia                                   CA       08      44.60868  -79.42068
Oromocto                                  CA       04      45.83512  -66.47917
Oshawa                                    CA       08      43.90012  -78.84957
Ottawa                                    CA       08      45.41117  -75.69812
Otterburn Park                            CA       10      45.53338  -73.21585
