ascii                                     country  admin1  lat       long
Key Largo                                 US       FL      25.08652  -80.44728
Key West                                  US       FL      24.5557   -81.78259
Keystone                                  US       FL      28.15585  -82.62121
Kings Point                               US       FL      26.44535  -80.13977
Kissimmee                                 US       FL      28.30468  -81.41667
Lady Lake                                 US       FL      28.91749  -81.92286
Lake Alfred                               US       FL      28.09196  -81.72341
Lake Butler                               US       FL      28.50167  -81.54091
Lake City                                 US       FL      30.18968  -82.63929
Lake Forest                               US       FL      25.97759  -80.1831
Lake Lorraine                             US       FL      30.44159  -86.56523
Lake Lucerne                              US       FL      25.96509  -80.24144
Lake Magdalene                            US       FL      28.07418  -82.47176
Lake Park                                 US       FL      26.80034  -80.06643
Lake Mary                                 US       FL      28.75888  -81.31784
Lake Wales                                US       FL      27.90141  -81.58591
Lake Worth                                US       FL      26.6159   -80.05699
Lake Worth Corridor                       US       FL      26.61649  -80.10102
Lakeland                                  US       FL      28.03947  -81.9498
Lakeland Highlands                        US       FL      27.95975  -81.95008
Lakes by the Bay                          US       FL      25.57233  -80.32533
Lakeside                                  US       FL      30.12996  -81.76815
Lakewood Park                             US       FL      27.54309  -80.40227
Lakewood Park                             US       FL      27.48143  -80.37422
Land O' Lakes                             US       FL      28.2189   -82.45759
Lantana                                   US       FL      26.58674  -80.05199
Largo                                     US       FL      27.90947  -82.78732
Lauderdale Lakes                          US       FL      26.16647  -80.20838
Lauderdale-by-the-Sea                     US       FL      26.19203  -80.09643
Lauderhill                                US       FL      26.14036  -80.21338
Laurel                                    US       FL      27.14378  -82.46158
Lealman                                   US       FL      27.82114  -82.67927
Lecanto                                   US       FL      28.85165  -82.4876
Leesburg                                  US       FL      28.81082  -81.87786
Lehigh Acres                              US       FL      26.62535  -81.6248
Leisure City                              US       FL      25.49539  -80.42922
Lighthouse Point                          US       FL      26.27564  -80.08727
Live Oak                                  US       FL      30.29495  -82.98402
Lockhart                                  US       FL      28.61944  -81.44257
Longboat Key                              US       FL      27.41254  -82.65899
Longwood                                  US       FL      28.70305  -81.3384
Lutz                                      US       FL      28.15112  -82.46148
Lynn Haven                                US       FL      30.24548  -85.64826
Macclenny                                 US       FL      30.28218  -82.12206
Maitland                                  US       FL      28.62778  -81.36312
Mango                                     US       FL      27.97974  -82.30648
Marathon                                  US       FL      24.71375  -81.09035
Marco                                     US       FL      25.9726   -81.72898
Margate                                   US       FL      26.24453  -80.20644
Marianna                                  US       FL      30.77436  -85.22687
Mascotte                                  US       FL      28.57833  -81.88675
McGregor                                  US       FL      26.56091  -81.91453
Meadow Woods                              US       FL      28.38556  -81.36646
Medulla                                   US       FL      27.9678   -81.97342
Melbourne                                 US       FL      28.08363  -80.60811
Melrose Park                              US       FL      26.11342  -80.19338
Memphis                                   US       FL      27.53587  -82.56121
Merritt Island                            US       FL      28.53917  -80.672
Miami                                     US       FL      25.77427  -80.19366
Miami Beach                               US       FL      25.79065  -80.13005
Miami Gardens                             US       FL      25.94204  -80.2456
Miami Lakes                               US       FL      25.90871  -80.30866
Miami Shores                              US       FL      25.86315  -80.19283
Miami Springs                             US       FL      25.82232  -80.2895
Micco                                     US       FL      27.88058  -80.50033
Middleburg                                US       FL      30.06885  -81.86038
Milton                                    US       FL      30.63241  -87.03969
Mims                                      US       FL      28.66527  -80.84478
Minneola                                  US       FL      28.57444  -81.74619
Miramar                                   US       FL      25.98731  -80.23227
Miramar Beach                             US       FL      30.37437  -86.35856
Mount Dora                                US       FL      28.80249  -81.64452
Myrtle Grove                              US       FL      30.42103  -87.30747
Naples                                    US       FL      26.14204  -81.79481
Naples Manor                              US       FL      26.0887   -81.7262
Naples Park                               US       FL      26.26175  -81.80925
Naranja                                   US       FL      25.51816  -80.42283
Navarre                                   US       FL      30.40159  -86.86357
Neptune Beach                             US       FL      30.31191  -81.39647
New Port Richey                           US       FL      28.24418  -82.71927
New Smyrna Beach                          US       FL      29.02582  -80.927
Niceville                                 US       FL      30.51686  -86.48217
Norland                                   US       FL      25.94898  -80.21227
North Andrews Gardens                     US       FL      26.19147  -80.14421
North Bay Village                         US       FL      25.84621  -80.15394
North Fort Myers                          US       FL      26.66729  -81.88009
North Lauderdale                          US       FL      26.2173   -80.22588
North Miami                               US       FL      25.89009  -80.18671
North Miami Beach                         US       FL      25.93315  -80.16255
North Palm Beach                          US       FL      26.81756  -80.08199
North Port                                US       FL      27.04422  -82.23593
North Sarasota                            US       FL      27.37393  -82.51843
Oak Ridge                                 US       FL      28.47112  -81.42452
Oakland Park                              US       FL      26.17231  -80.13199
Ocala                                     US       FL      29.1872   -82.14009
Ocean City                                US       FL      30.44103  -86.61356
Ocoee                                     US       FL      28.56917  -81.54396
Odessa                                    US       FL      28.1939   -82.59176
Ojus                                      US       FL      25.94843  -80.1506
Okeechobee                                US       FL      27.24393  -80.82978
Oldsmar                                   US       FL      28.03418  -82.6651
Olympia Heights                           US       FL      25.72677  -80.35533
Opa-locka                                 US       FL      25.90232  -80.25033
Orange City                               US       FL      28.94888  -81.29867
Orange Park                               US       FL      30.16607  -81.70648
Orlando                                   US       FL      28.53834  -81.37924
Orlovista                                 US       FL      28.53834  -81.46035
Ormond Beach                              US       FL      29.28581  -81.05589
Ormond-by-the-Sea                         US       FL      29.34914  -81.06645
Osprey                                    US       FL      27.19616  -82.49037
Oviedo                                    US       FL      28.67     -81.20812
Pace                                      US       FL      30.59936  -87.16108
Pahokee                                   US       FL      26.82006  -80.66534
Palatka                                   US       FL      29.64858  -81.63758
Palm Bay                                  US       FL      28.03446  -80.58866
Palm Beach                                US       FL      26.70562  -80.03643
Palm Beach GardensUS                           FL  26.82339  -80.13865
Palm City                    US  FL        27.16783  -80.26616
Palm Coast                   US  FL        29.58497  -81.20784
Palm Harbor                  US  FL        28.07807  -82.76371
Palm Springs                 US  FL        26.6359   -80.09615
Palm Springs North           US  FL        25.9351   -80.33383
Palm Valley                  US  FL        30.17746  -81.38758
Palmetto                     US  FL        27.52143  -82.57232
Palmetto Bay                 US  FL        25.62177  -80.32477
Palmetto Estates             US  FL        25.62149  -80.362
Panama City                  US  FL        30.15946  -85.65983
Panama City Beach            US  FL        30.17659  -85.80549
Parkland                     US  FL        26.31008  -80.23727
Pebble Creek                 US  FL        28.14835  -82.34565
Pelican Bay                  US  FL        26.2312   -81.80564
Pembroke Park                US  FL        25.98787  -80.17477
Pembroke Pines               US  FL        26.00315  -80.22394
Pensacola                    US  FL        30.42131  -87.21691
Perry                        US  FL        30.11744  -83.58181
Pine Castle                  US  FL        28.47195  -81.36785
Pine Hills                   US  FL        28.55778  -81.4534
Pine Island Ridge            US  FL        26.09481  -80.27394
Pine Ridge                   US  FL        28.93831  -82.47343
Pinecrest                    US  FL        25.66705  -80.30811
Pinellas Park                US  FL        27.8428   -82.69954
Pinewood                     US  FL        25.86898  -80.21699
Plant City                   US  FL        28.01863  -82.11286
Plantation                   US  FL        26.13421  -80.23184
Poinciana                    US  FL        28.14029  -81.45841
Pompano Beach                US  FL        26.23786  -80.12477
Pompano Beach Highlands      US  FL        26.28286  -80.10699
Ponte Vedra Beach            US  FL        30.23969  -81.38564
Port Charlotte               US  FL        26.97617  -82.09064
Port Orange                  US  FL        29.13832  -80.99561
Port Saint John              US  FL        28.47695  -80.78867
Port Saint Lucie             US  FL        27.29393  -80.35033
Port Salerno                 US  FL        27.14422  -80.2006
Princeton                    US  FL        25.53844  -80.40894
Progress Village             US  FL        27.9003   -82.36454
Punta Gorda                  US  FL        26.92978  -82.04537
Punta Gorda Isles            US  FL        26.91756  -82.07842
Quincy                       US  FL        30.58714  -84.58325
Richmond Heights             US  FL        25.63149  -80.36894
Richmond West                US  FL        25.6105   -80.42971
River Park                   US  FL        27.31421  -80.34727
Riverview                    US  FL        27.86614  -82.32648
Riviera Beach                US  FL        26.77534  -80.0581
Rockledge                    US  FL        28.35084  -80.72533
Rotonda                      US  FL        26.88368  -82.29009
Royal Palm Beach             US  FL        26.7084   -80.2306
Ruskin                       US  FL        27.72086  -82.43315
Safety Harbor                US  FL        27.99085  -82.69316
Saint Augustine              US  FL        29.89469  -81.31452
Saint Augustine Beach        US  FL        29.85053  -81.26535
Saint Augustine Shores       US  FL        29.8108   -81.31035
Saint Cloud                  US  FL        28.2489   -81.28118
Saint Pete Beach             US  FL        27.72531  -82.74121
Saint Petersburg             US  FL        27.77086  -82.67927
San Carlos Park              US  FL        26.4673   -81.80147
Sanibel                      US  FL        26.44897  -82.02231
Sanford                      US  FL        28.80055  -81.27312
Sarasota                     US  FL        27.33643  -82.53065
Sarasota Springs             US  FL        27.30894  -82.47954
Satellite Beach              US  FL        28.17612  -80.59005
Scott Lake                   US  FL        25.94148  -80.23199
Sebastian                    US  FL        27.81642  -80.47061
Sebring                      US  FL        27.49559  -81.44091
Seffner                      US  FL        27.98363  -82.27565
Seminole                     US  FL        27.83975  -82.79121
Shady Hills                  US  FL        28.41     -82.54288
Siesta Key                   US  FL        27.30199  -82.55149
Silver Springs Shores        US  FL        29.10442  -82.02064
Sky Lake                     US  FL        28.45723  -81.39146
South Bradenton              US  FL        27.4631   -82.58176
South Apopka                 US  FL        28.66194  -81.50952
South Daytona                US  FL        29.16582  -81.0045
South Gate Ridge             US  FL        27.28644  -82.49676
South Highpoint              US  FL        27.91697  -82.71288
South Miami                  US  FL        25.7076   -80.29338
South Miami Heights          US  FL        25.59761  -80.38061
South Patrick Shores         US  FL        28.20223  -80.6095
South Venice                 US  FL        27.05311  -82.42426
Southchase                   US  FL        28.39306  -81.3834
Southgate                    US  FL        27.3081   -82.50982
Southwest Ranches            US  FL        26.0587   -80.33727
Spring Hill                  US  FL        28.47688  -82.52546
Springfield                  US  FL        30.15326  -85.61132
Starke                       US  FL        29.94413  -82.10983
Stuart                       US  FL        27.19755  -80.25283
Sugarmill Woods              US  FL        28.73221  -82.50621
Sun City Center              US  FL        27.71809  -82.35176
Sunny Isles Beach            US  FL        25.95065  -80.12282
Sunrise                      US  FL        26.15767  -80.28611
Sunset                       US  FL        25.70594  -80.35228
Surfside                     US  FL        25.87843  -80.1256
Sweetwater                   US  FL        25.76343  -80.37311
Tallahassee                  US  FL        30.43826  -84.28073
Tamarac                      US  FL        26.21286  -80.24977
Tamiami                      US  FL        25.75871  -80.39839
Tampa                        US  FL        27.94752  -82.45843
Tarpon Springs               US  FL        28.14612  -82.75677
Tavares                      US  FL        28.80416  -81.72563
Temple Terrace               US  FL        28.0353   -82.38926
Tequesta                     US  FL        26.96811  -80.12865
The Crossings                US  FL        25.67066  -80.40117
The Hammocks                 US  FL        25.67149  -80.4445
The Villages                 US  FL        28.93408  -81.95994
Thonotosassa                 US  FL        28.06141  -82.30231
Three Lakes                  US  FL        25.64205  -80.39839
Timber Pines                 US  FL        28.47028  -82.60316
Titusville                   US  FL        28.61222  -80.80755
Town 'n' Country             US  FL        28.01057  -82.57732
Treasure Island              US  FL        27.76919  -82.76899
Union Park                   US  FL        28.56806  -81.28618
University Park              US  FL        25.74649  -80.36755
Upper Grand Lagoon           US  FL        30.16326  -85.74076
Valparaiso                   US  FL        30.50853  -86.50273
Valrico                      US  FL        27.93789  -82.23644
Venice                       US  FL        27.09978  -82.45426
Venice Gardens               US  FL        27.07311  -82.4076
Vero Beach                   US  FL        27.63864  -80.39727
Wahneta                      US  FL        27.9528   -81.72702
Warm Mineral Springs         US  FL        27.05978  -82.26009
Warrington                   US  FL        30.38409  -87.27497
Wauchula                     US  FL        27.54726  -81.81147
Wedgefield                   US  FL        28.48778  -81.07729
Wekiwa Springs               US  FL        28.69861  -81.42563
Wellington                   US  FL        26.65868  -80.24144
Wesley Chapel                US  FL        28.23973  -82.32787
Westchase                    US  FL        28.05502  -82.60982
West Little River            US  FL        25.85704  -80.23699
West Melbourne               US  FL        28.07168  -80.65339
West Miami                   US  FL        25.76343  -80.29616
West Palm Beach              US  FL        26.71534  -80.05337
West Park                    US  FL        25.98454  -80.19894
West Pensacola               US  FL        30.42659  -87.27969
West Perrine                 US  FL        25.60594  -80.36283
West Samoset                 US  FL        27.46948  -82.55676
West Vero Corridor           US  FL        27.63775  -80.48576
West and East Lealman        US  FL        27.81993  -82.68944
Westchester                  US  FL        25.75482  -80.32727
Weston                       US  FL        26.10037  -80.39977
Westview                     US  FL        25.88204  -80.24199
Westwood Lake                US  FL        25.72927  -80.37283
Wildwood                     US  FL        28.86526  -82.03897
Williamsburg                 US  FL        28.41445  -81.44285
Willow Oak                   US  FL        27.91614  -82.01786
Wilton Manors                US  FL        26.16036  -80.13893
Wimauma                      US  FL        27.71253  -82.29898
Winston                      US  FL        28.03169  -82.01481
Winter Garden                US  FL        28.56528  -81.58618
Winter Haven                 US  FL        28.02224  -81.73286
Winter Park                  US  FL        28.6      -81.33924
Winter Springs               US  FL        28.69889  -81.30812
Wright                       US  FL        30.45575  -86.63829
Yulee                        US  FL        30.6319   -81.60649
Zephyrhills                  US  FL        28.23362  -82.18119
Acworth                      US  GA        34.06593  -84.67688
Adel                         US  GA        31.13714  -83.42349
Albany                       US  GA        31.57851  -84.15574
Alpharetta                   US  GA        34.07538  -84.29409
Americus                     US  GA        32.07239  -84.23269
Athens                       US  GA        33.96095  -83.37794
Atlanta                      US  GA        33.749    -84.38798
Auburn                       US  GA        34.01372  -83.82768
Augusta                      US  GA        33.47097  -81.97484
Austell                      US  GA        33.81261  -84.63438
Bainbridge                   US  GA        30.9038   -84.57547
Barnesville                  US  GA        33.05457  -84.15575
Belvedere Park               US  GA        33.75483  -84.26742
Blakely                      US  GA        31.37768  -84.93409
Braselton                    US  GA        34.10927  -83.76267
Bremen                       US  GA        33.72122  -85.1455
Brunswick                    US  GA        31.14995  -81.49149
Buford                       US  GA        34.12066  -84.00435
Cairo                        US  GA        30.87741  -84.20129
Calhoun                      US  GA        34.50259  -84.95105
Camilla                      US  GA        31.23129  -84.21046
Canton                       US  GA        34.23676  -84.49076
Carrollton                   US  GA        33.58011  -85.07661
Cartersville                 US  GA        34.1651   -84.79994
Cedartown                    US  GA        34.05371  -85.25495
Centerville                  US  GA        32.63014  -83.68963
Chamblee                     US  GA        33.89205  -84.29881
Clarkston                    US  GA        33.80955  -84.23964
Cochran                      US  GA        32.38683  -83.35461
College Park                 US  GA        33.65344  -84.44937
Columbus                     US  GA        32.46098  -84.98771
Commerce                     US  GA        34.204    -83.45711
Conley                       US  GA        33.64483  -84.32576
Conyers                      US  GA        33.66761  -84.01769
Cordele                      US  GA        31.96351  -83.78239
Country Club Estates         US  GA        33.98928  -83.4096
Country Club Estates         US  GA        31.21273  -81.46427
Covington                    US  GA        33.59678  -83.86018
Cumming                      US  GA        34.20732  -84.14019
Cusseta                      US  GA        32.30543  -84.7727
Dahlonega                    US  GA        34.53259  -83.98491
Dalton                       US  GA        34.7698   -84.97022
Dallas                       US  GA        33.92371  -84.84077
Decatur                      US  GA        33.77483  -84.29631
Dock Junction                US  GA        31.20245  -81.51677
Doraville                    US  GA        33.89816  -84.28326
Douglas                      US  GA        31.50881  -82.84987
Douglasville                 US  GA        33.7515   -84.74771
Druid Hills                  US  GA        33.78038  -84.33604
Dublin                       US  GA        32.54044  -82.90375
Duluth                       US  GA        34.00288  -84.14464
Dunwoody                     US  GA        33.94621  -84.33465
East Point                   US  GA        33.67955  -84.43937
Eatonton                     US  GA        33.3268   -83.3885
Evans                        US  GA        33.53375  -82.13067
Fair Oaks                    US  GA        33.91649  -84.54465
Fairburn                     US  GA        33.56706  -84.58104
Fairview                     US  GA        34.94563  -85.2844
Fayetteville                 US  GA        33.44873  -84.45493
Fitzgerald                   US  GA        31.71491  -83.25265
Flowery Branch               US  GA        34.1851   -83.92518
Forest Park                  US  GA        33.62205  -84.36909
Fort Oglethorpe              US  GA        34.94896  -85.2569
Fort Valley                  US  GA        32.55376  -83.88741
Gainesville                  US  GA        34.29788  -83.82407
Garden City                  US  GA        32.11437  -81.154
Georgetown                   US  GA        31.98326  -81.22733
Gresham Park                 US  GA        33.70344  -84.31437
Griffin                      US  GA        33.24678  -84.26409
Grovetown                    US  GA        33.45042  -82.19818
Hampton                      US  GA        33.38706  -84.28298
Hapeville                    US  GA        33.66011  -84.4102
Hinesville                   US  GA        31.84688  -81.59595
Holly Springs                US  GA        34.17399  -84.50132
Irondale                     US  GA        33.48067  -84.35881
Jackson                      US  GA        33.29457  -83.96602
Jefferson                    US  GA        34.11705  -83.57239
Jesup                        US  GA        31.60744  -81.88539
Kennesaw                     US  GA        34.02343  -84.61549
Kingsland                    US  GA        30.79996  -81.68983
La Grange                    US  GA        33.03929  -85.03133
LaFayette                    US  GA        34.7048   -85.2819
Lawrenceville                US  GA        33.95621  -83.98796
Lilburn                      US  GA        33.8901   -84.14297
Lithia Springs               US  GA        33.794    -84.66049
Locust Grove                 US  GA        33.34595  -84.10908
Loganville                   US  GA        33.839    -83.90074
Lovejoy                      US  GA        33.43622  -84.31437
Mableton                     US  GA        33.81574  -84.56194
Macon                        US  GA        32.84069  -83.6324
Marietta                     US  GA        33.9526   -84.54993
Martinez                     US  GA        33.51736  -82.07567
McDonough                    US  GA        33.44734  -84.14686
McRae                        US  GA        32.06795  -82.9007
Milledgeville                US  GA        33.08014  -83.2321
Monroe                       US  GA        33.79484  -83.71323
Morrow                       US  GA        33.58317  -84.33937
Moultrie                     US  GA        31.17991  -83.78906
Mountain Park                US  GA        33.84427  -84.12936
Newnan                       US  GA        33.38067  -84.79966
Norcross                     US  GA        33.94121  -84.21353
North Atlanta                US  GA        33.8651   -84.33659
North Decatur                US  GA        33.79038  -84.30603
North Druid Hills            US  GA        33.81677  -84.31326
Panthersville                US  GA        33.70733  -84.27187
Peachtree City               US  GA        33.39678  -84.59576
Perry                        US  GA        32.45821  -83.73157
Pooler                       US  GA        32.11548  -81.24706
Port Wentworth               US  GA        32.14909  -81.16317
Powder Springs               US  GA        33.85955  -84.68382
Redan                        US  GA        33.74538  -84.13158
Richmond Hill                US  GA        31.93827  -81.30344
Rincon                       US  GA        32.29603  -81.23539
Riverdale                    US  GA        33.57261  -84.41326
Rome                         US  GA        34.25704  -85.16467
Roswell                      US  GA        34.02316  -84.36159
Saint Marys                  US  GA        30.73051  -81.54649
Saint Simon Mills            US  GA        31.17079  -81.40732
Saint Simons                 US  GA        31.13523  -81.3901
Sandersville                 US  GA        32.98154  -82.81014
Sandy Springs                US  GA        33.92427  -84.37854
Savannah                     US  GA        32.08354  -81.09983
Scottdale                    US  GA        33.78983  -84.26409
Skidaway Island              US  GA        31.93494  -81.04705
Smyrna                       US  GA        33.88399  -84.51438
Snellville                   US  GA        33.85733  -84.01991
Statesboro                   US  GA        32.44879  -81.78317
Stockbridge                  US  GA        33.54428  -84.23381
Stone Mountain               US  GA        33.80816  -84.1702
Sugar Hill                   US  GA        34.10649  -84.03352
Suwanee                      US  GA        34.05149  -84.0713
Swainsboro                   US  GA        32.59739  -82.33374
Sylvester                    US  GA        31.53073  -83.83545
Thomasville                  US  GA        30.83658  -83.97878
Thomaston                    US  GA        32.88819  -84.32659
Thomson                      US  GA        33.47069  -82.50457
Tifton                       US  GA        31.45046  -83.5085
Toccoa                       US  GA        34.57732  -83.33239
Tucker                       US  GA        33.85455  -84.21714
Tyrone                       US  GA        33.47123  -84.59715
Union City                   US  GA        33.58706  -84.54243
Valdosta                     US  GA        30.8327   -83.27849
Vidalia                      US  GA        32.21769  -82.41346
Villa Rica                   US  GA        33.73205  -84.91911
Vinings                      US  GA        33.86483  -84.46437
Warner Robins                US  GA        32.62098  -83.5999
Waycross                     US  GA        31.21355  -82.35402
Waynesboro                   US  GA        33.08987  -82.01567
Whitemarsh Island            US  GA        32.02882  -81.01678
Wilmington Island            US  GA        32.00355  -80.97372
Winder                       US  GA        33.99261  -83.72017
Woodstock                    US  GA        34.10149  -84.51938
Alton                        US  IL        38.8906   -90.18428
Benton                       US  IL        37.99672  -88.92007
Bethalto                     US  IL        38.90921  -90.04066
Belleville                   US  IL        38.52005  -89.98399
Cahokia                      US  IL        38.57088  -90.19011
Carbondale                   US  IL        37.72727  -89.21675
Carlinville                  US  IL        39.27977  -89.88177
Carmi                        US  IL        38.09088  -88.15865
Carterville                  US  IL        37.76005  -89.0773
Centralia                    US  IL        38.52505  -89.1334
Centreville                  US  IL        38.58338  -90.12511
Charleston                   US  IL        39.49615  -88.17615
Chatham                      US  IL        39.67616  -89.70454
Chester                      US  IL        37.91366  -89.82205
Collinsville                 US  IL        38.67033  -89.98455
Columbia                     US  IL        38.44366  -90.20122
Decatur                      US  IL        39.84031  -88.9548
Du Quoin                     US  IL        38.01144  -89.23619
East Alton                   US  IL        38.88033  -90.11122
East Saint Louis             US  IL        38.6245   -90.15094
Edwardsville                 US  IL        38.81144  -89.95316
Effingham                    US  IL        39.12004  -88.54338
Fairfield                    US  IL        38.37894  -88.35977
Fairview Heights             US  IL        38.58894  -89.99038
Flora                        US  IL        38.66894  -88.4856
Glen Carbon                  US  IL        38.74838  -89.98316
Godfrey                      US  IL        38.9556   -90.18678
Granite City                 US  IL        38.70144  -90.14872
Greenville                   US  IL        38.89227  -89.41314
Harrisburg                   US  IL        37.73838  -88.54061
Herrin                       US  IL        37.80311  -89.02757
Highland                     US  IL        38.73949  -89.6712
Hillsboro                    US  IL        39.16116  -89.4937
Jacksonville                 US  IL        39.73394  -90.22901
Jerseyville                  US  IL        39.12005  -90.32845
Litchfield                   US  IL        39.17533  -89.65426
Marion                       US  IL        37.73061  -88.93313
Maryville                    US  IL        38.72366  -89.95593
Mascoutah                    US  IL        38.49033  -89.79315
Mattoon                      US  IL        39.48309  -88.37283
Metropolis                   US  IL        37.15117  -88.732
Mount Carmel                 US  IL        38.41088  -87.76142
Mount Vernon                 US  IL        38.31727  -88.90312
Mount Zion                   US  IL        39.77143  -88.87424
Murphysboro                  US  IL        37.7645   -89.33509
O'Fallon                     US  IL        38.59227  -89.91121
Olney                        US  IL        38.73088  -88.08532
Pana                         US  IL        39.38893  -89.08008
Paris                        US  IL        39.61115  -87.69614
Pinckneyville                US  IL        38.08033  -89.38203
Pontoon Beach                US  IL        38.73172  -90.08038
Quincy                       US  IL        39.9356   -91.40987
Robinson                     US  IL        39.00532  -87.73919
Salem                        US  IL        38.62699  -88.94562
Shiloh                       US  IL        38.56144  -89.89732
Springfield                  US  IL        39.80172  -89.64371
Staunton                     US  IL        39.01227  -89.79121
Swansea                      US  IL        38.53394  -89.98899
Taylorville                  US  IL        39.54894  -89.29453
Troy                         US  IL        38.72921  -89.88315
Upper Alton                  US  IL        38.91144  -90.15066
Vandalia                     US  IL        38.9606   -89.09368
Waterloo                     US  IL        38.33589  -90.14983
West Frankfort               US  IL        37.89783  -88.93146
Wood River                   US  IL        38.86116  -90.09761
Avon                         US  IN        39.76282  -86.39972
Batesville                   US  IN        39.30005  -85.22218
Bedford                      US  IN        38.86116  -86.48721
Beech Grove                  US  IN        39.72199  -86.08998
Bloomington                  US  IN        39.16532  -86.52639
Boonville                    US  IN        38.04921  -87.27417
Brazil                       US  IN        39.52365  -87.12502
Bright                       US  IN        39.21839  -84.85606
Broad Ripple                 US  IN        39.86671  -86.14165
Brownsburg                   US  IN        39.84338  -86.39777
Carmel                       US  IN        39.97837  -86.11804
Charlestown                  US  IN        38.45312  -85.67024
Clarksville                  US  IN        38.29674  -85.75996
Columbus                     US  IN        39.20144  -85.92138
Connersville                 US  IN        39.64116  -85.14107
Cumberland                   US  IN        39.77615  -85.9572
Danville                     US  IN        39.7606   -86.52639
Ellettsville                 US  IN        39.23393  -86.625
Evansville                   US  IN        37.97476  -87.55585
Fishers                      US  IN        39.95559  -86.01387
Greencastle                  US  IN        39.64449  -86.86473
Greenfield                   US  IN        39.78504  -85.76942
Greensburg                   US  IN        39.33727  -85.48358
Greenwood                    US  IN        39.61366  -86.10665
Hidden Valley                US  IN        39.16228  -84.84301
Huntingburg                  US  IN        38.29894  -86.955
Indianapolis                 US  IN        39.76838  -86.15804
Jasper                       US  IN        38.39144  -86.93111
Jeffersonville               US  IN        38.27757  -85.73718
Lawrence                     US  IN        39.83865  -86.02526
Lawrenceburg                 US  IN        39.09089  -84.84995
Linton                       US  IN        39.03477  -87.16585
Lowell                       US  IN        39.25311  -85.94638
Madison                      US  IN        38.73589  -85.37996
Martinsville                 US  IN        39.42783  -86.42833
Mooresville                  US  IN        39.61282  -86.37416
Mount Vernon                 US  IN        37.93227  -87.89503
New Albany                   US  IN        38.28562  -85.82413
New Castle                   US  IN        39.92894  -85.37025
New Whiteland                US  IN        39.5581   -86.09526
North Madison                US  IN        38.76784  -85.39662
North Vernon                 US  IN        39.00616  -85.62358
Oak Park                     US  IN        38.30562  -85.69635
Plainfield                   US  IN        39.70421  -86.39944
Princeton                    US  IN        38.35532  -87.56752
Richmond                     US  IN        39.82894  -84.89024
Rushville                    US  IN        39.60921  -85.44636
Salem                        US  IN        38.60561  -86.10109
Scottsburg                   US  IN        38.68561  -85.77025
Sellersburg                  US  IN        38.39812  -85.75496
Seymour                      US  IN        38.95922  -85.89025
Shelbyville                  US  IN        39.52144  -85.77692
Speedway                     US  IN        39.80227  -86.26721
Tell City                    US  IN        37.95144  -86.76777
Terre Haute                  US  IN        39.4667   -87.41391
Vincennes                    US  IN        38.67727  -87.52863
Washington                   US  IN        38.65922  -87.17279
Zionsville                   US  IN        39.95087  -86.26194
Abilene                      US  KS        38.91722  -97.21391
Andover                      US  KS        37.7139   -97.13643
Arkansas City                US  KS        37.06197  -97.03837
Atchison                     US  KS        39.56305  -95.12164
Augusta                      US  KS        37.68668  -96.9767
Bonner Springs               US  KS        39.05973  -94.88358
Chanute                      US  KS        37.67921  -95.4572
Coffeyville                  US  KS        37.0373   -95.61637
Concordia                    US  KS        39.57084  -97.66254
De Soto                      US  KS        38.97917  -94.96858
Derby                        US  KS        37.54557  -97.26893
El Dorado                    US  KS        37.81724  -96.86225
Emporia                      US  KS        38.4039   -96.18166
Eudora                       US  KS        38.94334  -95.09858
Fort Scott                   US  KS        37.83976  -94.7083
Gardner                      US  KS        38.81084  -94.92719
Great Bend                   US  KS        38.36446  -98.76481
Hays                         US  KS        38.87918  -99.32677
Haysville                    US  KS        37.56446  -97.35227
Hutchinson                   US  KS        38.06084  -97.92977
Independence                 US  KS        37.22424  -95.70831
Iola                         US  KS        37.92448  -95.39998
Junction City                US  KS        39.02861  -96.8314
Kansas City                  US  KS        39.11417  -94.62746
Lansing                      US  KS        39.24861  -94.90024
Lawrence                     US  KS        38.97167  -95.23525
Leavenworth                  US  KS        39.31111  -94.92246
Leawood                      US  KS        38.96667  -94.6169
Lenexa                       US  KS        38.95362  -94.73357
Manhattan                    US  KS        39.18361  -96.57167
McPherson                    US  KS        38.37084  -97.66421
Merriam                      US  KS        39.02362  -94.69357
Mission                      US  KS        39.02778  -94.65579
Mulvane                      US  KS        37.47446  -97.24393
Newton                       US  KS        38.04668  -97.34504
Olathe                       US  KS        38.8814   -94.81913
Ottawa                       US  KS        38.61557  -95.26775
Overland Park                US  KS        38.98223  -94.67079
Paola                        US  KS        38.57224  -94.87913
Park City                    US  KS        37.80001  -97.31838
Parsons                      US  KS        37.34034  -95.26108
Pittsburg                    US  KS        37.41088  -94.70496
Prairie Village              US  KS        38.99167  -94.63357
Pratt                        US  KS        37.64391  -98.73759
Roeland Park                 US  KS        39.03751  -94.63218
Salina                       US  KS        38.84028  -97.61142
Shawnee                      US  KS        39.04167  -94.72024
Spring Hill                  US  KS        38.74306  -94.82552
Topeka                       US  KS        39.04833  -95.67804
Valley Center                US  KS        37.83473  -97.37338
Wellington                   US  KS        37.2653   -97.37171
Wichita                      US  KS        37.69224  -97.33754
Winfield                     US  KS        37.23975  -96.99559
Alexandria                   US  KY        38.95951  -84.38799
Ashland                      US  KY        38.47841  -82.63794
Bardstown                    US  KY        37.80923  -85.4669
